Subject,Age,CharacterCode,Item,ISI_Sequence,ISI,ISD,BoundaryCode,ReadingScore
520,24,CT4,CT4_6,6,167,185.4211423,2nd UB,65
603,23,IR2,IR2_4,4,168,133.3604139,1st UB,82
515,20,CL3,CL3_6,6,169,115.918156,2nd UB,71
006,18,IL3,IL3_7,7,169,137.2005831,2nd UB,66
414,22,CR2,CR2_4,4,170,15.52835471,1st UB,48
517,23,CT3,CT3_9,9,170,124.3543325,2nd UB,52
505,25,IL1,IL1_9,9,171,86.70121856,2nd UB,51
005,23,IT1,IT1_8,8,171,155.0806242,2nd UB,39
507,23,IT2,IT2_7,7,172,119.4991632,2nd UB,48
403,24,IL2,IL2_12,12,172,75.96051606,2nd UB,52
002,22,CR3,CR3_3,3,172,129.1897829,1st UB,26
416,40,IL2,IL2_12,12,172,57.87054518,2nd UB,67
008,21,IR2,IR2_4,4,173,56.53234915,1st UB,72
511,26,IT3,IT3_6,6,173,157.492857,2nd UB,50
512,35,IB2,IB2_6,6,173,110.0545319,1st UB,46
401,26,CB4,CB4_3,3,174,65.90185582,1st UB,52
603,23,IT4,IT4_9,9,174,165.0515071,2nd UB,82
513,22,IB4,IB4_3,3,174,63.38769597,1st UB,46
517,23,IB2,IB2_6,6,174,79.71198153,1st UB,52
511,26,IT1,IT1_8,8,175,52.77309921,2nd UB,50
413,22,IR2,IR2_4,4,176,38.07886553,1st UB,47
516,23,CT4,CT4_6,6,176,132.6084462,2nd UB,42
001,20,IL2,IL2_11,11,177,10.86236162,2nd UB,88
005,23,CB2,CB2_6,6,177,118.7939392,1st UB,39
511,26,CT4,CT4_6,6,177,236.5967033,2nd UB,50
518,23,CR4,CR4_2,2,177,92.17917335,1st UB,66
502,26,CR4,CR4_2,2,178,138.9380581,1st UB,44
513,22,IR4,IR4_3,3,178,54.58937626,1st UB,46
502,26,IB4,IB4_3,3,179,32.93734962,1st UB,44
505,25,CL1,CL1_8,8,179,70.14509534,2nd UB,51
408,22,CL2,CL2_9,9,179,66.76076692,2nd UB,35
514,23,CL2,CL2_9,9,179,66.76076692,2nd UB,62
518,23,CB1,CB1_5,5,179,143.2918009,1st UB,66
522,20,IB4,IB4_3,3,179,112.3788236,1st UB,61
505,25,IB1,IB1_5,5,180,39.61665559,1st UB,51
401,26,CL4,CL4_5,5,180,110.6675603,2nd UB,52
501,21,CR4,CR4_2,2,180,100.8811182,1st UB,45
604,23,IB2,IB2_6,6,180,110.341291,1st UB,75
411,22,IB4,IB4_3,3,180,133.2553939,1st UB,30
411,22,CB4,CB4_3,3,180,68.0661443,1st UB,30
518,23,CL4,CL4_5,5,180,72.00694411,2nd UB,66
601,30,IR4,IR4_3,3,181,114.0394669,1st UB,39
510,21,IT1,IT1_8,8,181,38.38196061,2nd UB,67
603,23,IB4,IB4_3,3,181,125.2996409,1st UB,82
511,26,IB4,IB4_3,3,181,102.4890238,1st UB,50
601,30,CB2,CB2_6,6,182,108.9311709,1st UB,39
403,24,IL3,IL3_8,8,182,116.3872845,2nd UB,52
514,23,IB1,IB1_4,4,182,45.31004304,1st UB,62
405,38,CR3,CR3_3,3,183,149.6562728,1st UB,71
601,30,CR2,CR2_4,4,183,171.0263138,1st UB,39
602,29,CR3,CR3_3,3,183,144.0138882,1st UB,74
401,26,CT1,CT1_9,9,183,111.3956911,2nd UB,52
403,24,CL4,CL4_6,6,183,105.6030303,2nd UB,52
504,22,IB4,IB4_3,3,183,116.5032188,1st UB,59
412,22,IR1,IR1_5,5,183,111.5212984,1st UB,50
519,33,CT1,CT1_9,9,183,86.97700846,2nd UB,78
519,33,IT2,IT2_8,8,183,139.4632568,2nd UB,78
520,24,IR1,IR1_5,5,183,74.09399436,1st UB,65
508,26,IR1,IR1_5,5,184,34.71310992,1st UB,35
501,21,IL1,IL1_9,9,184,87.46427842,2nd UB,45
515,20,IR2,IR2_4,4,184,199.9699977,1st UB,71
005,23,IB2,IB2_6,6,184,147.1767645,1st UB,39
511,26,CT3,CT3_9,9,184,175.071414,2nd UB,50
412,22,CR1,CR1_5,5,185,25.07987241,1st UB,50
505,25,CT2,CT2_8,8,186,80.03854634,2nd UB,51
515,20,IL4,IL4_9,9,186,78.52096854,2nd UB,71
007,21,CT4,CT4_6,6,186,47.42362281,2nd UB,85
601,30,IL1,IL1_9,9,186,38.94008218,2nd UB,39
604,23,IL1,IL1_9,9,186,38.94008218,2nd UB,75
517,23,CL1,CL1_8,8,186,134.2013413,2nd UB,52
403,24,CT2,CT2_8,8,187,125.5428214,2nd UB,52
504,22,CL2,CL2_8,8,187,23.02172887,2nd UB,59
603,23,CR2,CR2_4,4,187,111.2115102,1st UB,82
604,23,CB1,CB1_5,5,187,159.6435633,1st UB,75
518,23,IL2,IL2_12,12,187,17.59760211,2nd UB,66
501,21,IT1,IT1_8,8,188,145.1654229,2nd UB,45
511,26,CL4,CL4_6,6,188,82.03657721,2nd UB,50
520,24,IL2,IL2_12,12,188,106.1591258,2nd UB,65
521,22,CL4,CL4_6,6,188,85.97301902,2nd UB,68
404,19,IR2,IR2_3,3,189,130.4837155,1st UB,38
406,27,IT1,IT1_8,8,189,88.41379983,2nd UB,28
514,23,CL1,CL1_8,8,189,76.05918748,2nd UB,62
511,26,CB4,CB4_3,3,189,74.73285757,1st UB,50
506,29,IR1,IR1_5,5,189,33.70512721,1st UB,33
511,26,IL3,IL3_8,8,190,135.2072483,2nd UB,50
410,23,CB1,CB1_5,5,190,101.4001972,1st UB,39
